formula,target
Si0.01 Ti0.33 Ni0.08 Cu0.47 Zr0.09 Nb0.02 ,34.0
Ti0.34 Ni0.08 Cu0.47 Zr0.11 ,33.1
Si0.01 Ti0.33 Ni0.06 Cu0.47 Zr0.11 Sn0.02 ,45.0
Si0.01 Ti0.33 Ni0.08 Cu0.47 Zr0.11 ,37.0
Si0.01 Ti0.33 Ni0.08 Cu0.47 Zr0.05 Nb0.06 ,27.0
Si0.01 Ti0.33 Ni0.08 Cu0.47 Nb0.11 ,22.0
Ti0.425 Ni0.075 Cu0.425 Zr0.025 Hf0.05 ,49.0
Al0.08 Si0.045 Ti0.2 Ni0.42 Cu0.05 Zr0.205 ,93.0
Si0.01 Ti0.415 Ni0.075 Cu0.425 Zr0.025 Hf0.05 ,42.65
Al0.08 Si0.035 Ti0.2 Ni0.42 Cu0.05 Zr0.215 ,72.0
Ti0.423 Ni0.06767999999999999 Cu0.35531999999999997 Zr0.094 Sn0.06 ,56.0
Al0.08 Si0.025 Ti0.2 Ni0.42 Cu0.05 Zr0.225 ,66.0
Al0.08 Si0.035 Ti0.19 Ni0.42 Cu0.05 Zr0.225 ,66.0
Al0.08 Ti0.2 Ni0.42 Cu0.05 Zr0.25 ,55.0
Si0.05 Ti0.16 Ni0.59 Zr0.2 ,46.0
Ti0.4 Cu0.4 Zr0.1 Pd0.1 ,49.0
Be0.24 Fe0.08 Cu0.12 Zr0.48 Nb0.08 ,93.0
Si0.01 Ti0.415 Ni0.075 Cu0.375 Zr0.025 Sn0.05 Hf0.05 ,64.2
Ti0.4 Cu0.38 Zr0.1 Pd0.12 ,49.0
Si0.02 Ti0.16 Ni0.59 Zr0.2 Sn0.03 ,56.0
Ti0.4 Cu0.36 Zr0.1 Pd0.14 ,49.0
Ti0.4 Cu0.34 Zr0.1 Pd0.16 ,51.0
Al0.25 Co0.2 Y0.55 ,61.0
Si0.03 Ti0.13 Ni0.59 Zr0.16 Nb0.07 Sn0.02 ,40.0
Al0.05 Ti0.075 Ni0.6 Zr0.2 Nb0.075 ,61.0
Ti0.4 Cu0.32 Zr0.1 Pd0.18 ,57.0
Al0.24 Co0.2 Y0.56 ,54.0
Be0.225 Cu0.125 Zr0.65 ,99.0
Ti0.16 Ni0.59 Zr0.2 Sn0.05 ,35.0
Be0.18 Ni0.12 Cu0.14 Zr0.48 Nb0.08 ,68.0
Al0.05 Ti0.05 Ni0.6 Zr0.2 Nb0.1 ,70.0
Ti0.4 Cu0.3 Zr0.1 Pd0.2 ,60.0
Be0.07 Al0.07 Cu0.43 Zr0.43 ,103.0
Al0.2 Co0.25 Zr0.55 ,79.0
Al0.05 Ti0.025 Ni0.6 Zr0.2 Nb0.125 ,61.0
Al0.2 Co0.2 Cu0.05 Zr0.55 ,81.0
Ti0.1 Ni0.13 Cu0.47 Zr0.3 ,27.0
Ti0.1 Ni0.05 Cu0.55 Zr0.3 ,33.0
Al0.19400000000000006 Co0.19400000000000006 Cu0.048500000000000015 Zr0.5335 Ag0.03 ,65.0
Al0.198 Co0.198 Cu0.0495 Zr0.5445 Ag0.01 ,74.0
Be0.0011098779134295226 Ti0.09988901220865704 Cu0.5993340732519423 Zr0.2996670366259712 ,42.0
Ti0.09998990001009997 Cu0.5999394000606 Zr0.2999697000303 Sn0.000100999899000101 ,46.0
Ti0.09997959600081616 Cu0.599877576004897 Y0.00020403999183840035 Zr0.2999387880024485 ,50.0
Ti0.1 Cu0.6 Zr0.3 ,32.0
Be0.1 Al0.08 Cu0.2764 Zr0.46 Ag0.0836 ,115.0
Al0.163 Ni0.12 Cu0.207 Zr0.51 ,78.0
